class,number,section,time,room,prof,enrollment
 GPHY 102 - Earth System Science ,2882,"005-TUT
Regular",Th 9:30AM - 10:30AM,MACINTOSH-CORRY RM E104,"Danby,Ryan,
Lamoureux,Scott",30
 HLTH 334 - The Politics of Health and Illness ,4146,"003-TUT
Regular",Th 9:30AM - 10:30AM,KINES & HLTH RM106,Staff,22
 LAW 152 - Constitutional Law ,1439,"001-LEC
Law",TuTh 9:30AM - 11:30AM,MACDONALD RM202,"Metcalf,Cherie M",54
 LAW 153 - Constitutional Law ,1539,"001-LEC
Law","Tu 3:00PM - 5:00PM
Th 9:30AM - 11:30AM","MACDONALD RM202
MACDONALD RM201","Weinrib,Jacob
Weinrib,Jacob",51
 LAW 320 - Evidence ,1446,"001-LEC
Law",TuTh 9:30AM - 11:30AM,DUNNING RM12,Staff,80
 LAW 440 - Business Associations ,1457,"001-LEC
Law",TuTh 9:30AM - 11:30AM,MACDONALD RM1,"Njoya,Wanjiru",89
 MATH 341 - Differential Geometry ,5135,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM115
JEFFERY RM115
JEFFERY RM115","Barthelme,Thomas
Barthelme,Thomas
Barthelme,Thomas",9
 MUSC 227B - Ear Training and Sight Singing II ,4533,"001-LAB
Regular","Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM","HARRISON-LECAINE RM124
HARRISON-LECAINE RM124","Tormann,Cynthia
Tormann,Cynthia",6
 NSCI 324 - Systems Neuroscience ,1137,"002-TUT
Regular",Th 9:30AM - 11:30AM,DUPUIS AUD,"Ferguson,Alastair V,
Munoz,Douglas Perry,
Scott,Stephen H",73
 NURS 370 - Family Ctrd Maternal Child Nur ,4610,"001-LEC
Regular","Th 9:30AM - 11:30AM
Th 12:30PM - 2:30PM
Fr 9:30AM - 11:30AM","BIOSCI RM1102
BIOSCI RM1102
BIOSCI RM1102","Gedcke-Kerr,Laurie M
Jewell,Susan
Jewell,Susan",90
 PHIL 115B - Fundamental Questions ,5213,"003-TUT
Regular",Th 9:30AM - 10:30AM,KINGSTON RM205,"Davies,Jacqueline M",23
 PHYS 239 - Electromagnetism ,4661,"001-LEC
Regular","Th 9:30AM - 10:30AM
We 5:30PM - 6:30PM
Th 2:30PM - 3:30PM","STIRLING RM C
STIRLING RM C
STIRLING RM B","Duncan,Martin James
Duncan,Martin James
Duncan,Martin James",165
 PHYS 321 - Advanced Mechanics ,4665,"002-TUT
Regular",Th 9:30AM - 10:30AM,STIRLING RM412B,"Lake,Kayll W",35
 POLS 110B - Introduction to Politics and Government ,4780,"028-TUT
Regular",Th 9:30AM - 10:30AM,MACINTOSH-CORRY RM D214,Staff,13
 POLS 110B - Introduction to Politics and Government ,4793,"030-TUT
Regular",Th 9:30AM - 10:30AM,MACINTOSH-CORRY RM D122,Staff,18
 POLS 212 - Canadian Politics ,4781,"004-TUT
Regular",Th 9:30AM - 10:30AM,MACINTOSH-CORRY RM D326,Staff,23
 POLS 262 - International Political Economy ,5173,"008-TUT
Regular",Th 9:30AM - 10:30AM,MACINTOSH-CORRY RM C508,Staff,14
 PSYC 100B - Principles of Psychology ,3408,"031-LAB
Regular",Th 9:30AM - 10:30AM,HUMPHREY RM131,Staff,29
 PSYC 100B - Principles of Psychology ,3437,"060-LAB
Regular",Th 9:30AM - 10:30AM,HUMPHREY RM132,Staff,22
 SOCY 122B - Introduction to Sociology ,1204,"039-TUT
Regular",Th 9:30AM - 10:30AM,KINGSTON RM104,Staff,15
 SOCY 122B - Introduction to Sociology ,1205,"040-TUT
Regular",Th 9:30AM - 10:30AM,KINGSTON RM209,Staff,13
 SOFT 423 - Software Requirements ,5016,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM126
JEFFERY RM126
JEFFERY RM126","Ahmadi,Reza
Ahmadi,Reza
Ahmadi,Reza",89
 ARTH 354 - Age of Rembrandt ,5539,"001-LEC
Regular","TBA
Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","TBA
DUNNING RM27
DUNNING RM27","Dickey,Stephanie
Dickey,Stephanie
Dickey,Stephanie",52
 BIOL 103 - Introductory Biology of Organisms ,1356,"032-LAB
Regular","Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",20
 BIOL 103 - Introductory Biology of Organisms ,1357,"033-LAB
Regular","Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",20
 BIOL 103 - Introductory Biology of Organisms ,1358,"034-LAB
Regular","Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",16
 BIOL 103 - Introductory Biology of Organisms ,1359,"035-LAB
Regular","Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",6
 BIOL 103 - Introductory Biology of Organisms ,5886,"094-LAB
Regular","Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM
Th 10:00AM - 11:30AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",16
 CLST 343 - The Later Roman Empire ,1800,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","JOHN WATSON RM217
JOHN WATSON RM217","Ward,Graeme
Ward,Graeme",39
 COMM 105 - Business Communications ,3701,"005-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM151
GOODES RM151","Coulter,Christine
Coulter,Christine",74
 COMM 122 - Finance II ,3616,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM153
GOODES RM153","Dudley,Evan
Dudley,Evan",81
 COMM 131 - Introduction To Marketing ,3622,"003-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM141
GOODES RM141","Wiebe,Jeffrey
Wiebe,Jeffrey",81
 COMM 151 - Organizational Behaviour ,3667,"006-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM118
GOODES RM118","Knutsen,Wenjue
Knutsen,Wenjue",73
 COMM 181 - Intro To Human Resource Mgmt ,3637,"002-LEC
Regular","Th 10:00AM - 11:30AM
Mo 8:30AM - 10:00AM","GOODES RM108
GOODES RM108","Rowbotham,Kate
Rowbotham,Kate",90
 COMM 322 - Advanced Corporate Finance ,4697,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM 305
GOODES RM 305","Chaigneau,Pierre
Chaigneau,Pierre",50
 COMM 335 - Marketing Communications ,3671,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM102
GOODES RM102","Libitz,Gregory
Libitz,Gregory",46
 COMM 374 - international Business Strategy ,3695,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM 101
GOODES RM 101","Bartholomew,Susan
Bartholomew,Susan",55
 DRAM 100B - Introduction to the Theatre ,2354,"002-LAB
Regular",Th 10:00AM - 11:30AM,THEOLOGICAL RM106,Staff,20
 DRAM 100B - Introduction to the Theatre ,2355,"003-LAB
Regular",Th 10:00AM - 11:30AM,THEOLOGICAL ROT,Staff,18
 DRAM 545B - Advanced Technical Production ,2373,"001-IND
Regular",Th 10:00AM - 11:30AM,THEOLOGICAL RM115,"Redish,Adair",9
 ECON 232 - The Diffusion of Modern Economic Growth ,1970,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINGSTON RM201
KINGSTON RM201","Keay,Ian
Keay,Ian",153
 ECON 361 - Income Distribution and Problems of Inequality ,1981,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACDONALD RM4
MACDONALD RM4","Rosé,David
Rosé,David",49
 ECON 425 - international Trade Theory and Policy ,1974,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACDONALD RM2
MACDONALD RM2","Lapham,Beverly Jean
Lapham,Beverly Jean",66
 ECON 443 - Issues in Microeconomic Policy ,1983,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACINTOSH-CORRY RM D216
MACINTOSH-CORRY RM D216","Garvie,Devon Anne
Garvie,Devon Anne",10
 ECON 891 - Environmental Economics ,5657,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACINTOSH-CORRY RM D216
MACINTOSH-CORRY RM D216","Garvie,Devon Anne
Garvie,Devon Anne",10
 ENGL 271 - Issues and Themes: Special Topics I ,5638,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINES & HLTH RM101
KINES & HLTH RM101","Cotton,Adam
Cotton,Adam",63
 ENGL 452 - Topics in Victorian Literature II ,2034,"002-SEM
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","THEOLOGICAL RM209
THEOLOGICAL RM209","Berg,Maggie Anne
Berg,Maggie Anne",25
 FREN 331 - Rédaction et style II ,2521,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","ELLIS RM321
KINGSTON RM208","Offredi,Frederique A
Offredi,Frederique A",22
 HIST 121B - Intellectual Origins of the Contemporary West ,2776,"005-SEM
Regular",Th 10:00AM - 11:30AM,ELLIS RM218,"Brown,Stefan",28
 HIST 122B - Making of the Modern World ,2758,"005-SEM
Regular",Th 10:00AM - 11:30AM,MACINTOSH-CORRY RM E230,"Kartal,Abdulkerim",33
 HIST 240B - Issues in History ,2906,"001-LEC
Regular","Th 10:00AM - 11:30AM
Tu 10:00AM - 11:30AM","ELLIS RM321
DUPUIS RM217","Husain,Adnan,
Salzmann,Ariel
Husain,Adnan,
Salzmann,Ariel",50
 IDIS 311 - Sound Production ,2927,"001-LAB
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","IBCPA RM336
IBCPA RM336","Rogalsky,Matt
Rogalsky,Matt",29
 ITLN 111 - Beginning Italian I ,5094,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINGSTON RM204
KINGSTON RM204","Cecchetto,Elena
Cecchetto,Elena",39
 KNPE 254 - Biomechanical Analysis of Human Movement ,5074,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","HUMPHREY AUD
HUMPHREY AUD","Diesbourg,Tara
Diesbourg,Tara",169
 KNPE 345 - The Science and Methodology of Sport Training Conditioning Programs ,4181,"003-LAB
Regular",Th 10:00AM - 11:30AM,TBA,Staff,16
 KNPE 354 - Occupational Biomechanics and Physical Ergonomics ,4210,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM
Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINES & HLTH RM202
KINES & HLTH RM202
KINES & HLTH RM203
KINES & HLTH RM203","Costigan,Patrick A
Costigan,Patrick A
Costigan,Patrick A
Costigan,Patrick A",27
 LAW 160B - Contracts ,1567,"001-SEM
Law","Tu 1:00PM - 2:30PM
Th 10:00AM - 11:30AM","MACDONALD RM211
MACDONALD RM211","Bailey,Martha Jane
Bailey,Martha Jane",28
 LAW 181B - Property ,1441,"001-LEC
Law","Tu 10:00AM - 11:30AM
Th 10:00AM - 11:30AM","MACDONALD RM201
MACDONALD RM3","Lahey,Kathleen Ann
Lahey,Kathleen Ann",51
 LAW 194B - Torts ,1742,"001-SEM
Law",TuTh 10:00AM - 11:30AM,MACDONALD RM400,"Maur,Mary Jo",25
 MGMT 923 - Financial Economics ,6011,"001-LEC
Regular",Th 10:00AM - 1:00PM,TBA,"Suo,Wulin",4
 MGMT 952 - Adv. Top. In Organizat. Theory ,6018,"001-LEC
Regular",Th 10:00AM - 1:00PM,TBA,"Dacin,Tina",4
 MUSC 438 - Music Education Seminar ,4570,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","HARRISON-LECAINE RM120
HARRISON-LECAINE RM120","Brook,Julia Elaine
Brook,Julia Elaine",10
 PHIL 374 - Continental Philosophy 1960-present ,5568,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","STIRLING RM414
STIRLING RM414","Fairfield,Paul
Fairfield,Paul",41
 PSYC 203 - Research Methods in Psychology ,3361,"005-LAB
Regular",Th 10:00AM - 11:30AM,HUMPHREY RM219,Staff,26
 PSYC 231 - The Study of Personality ,5304,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","ETHERINGTON AUD
ETHERINGTON AUD","Holden,Ronald R
Holden,Ronald R",244
 PSYC 332 - Health Psychology ,3461,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINGSTON RM101
KINGSTON RM101","Tripp,Dean
Tripp,Dean",113
 PSYC 355 - Comparative Cognition: Cognitive Origins Laboratory ,5290,"002-LAB
Regular",Th 10:00AM - 11:30AM,ELLIS RM333,"Kuhlmeier,Valerie Ann",23
 PSYC 371 - Research Problems in Behavioural Neuroscience ,3450,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","BOTTER RM B148
BOTTER RM B148","Dringenberg,Hans C
Dringenberg,Hans C",26
 PT 882 - Clinical Placement II ,5028,"001-LEC
Regular",Th 10:00AM - 11:30AM,BOTTER RM B143,"Booth,Randal Allen",74
 SOCY 384 - Women and Reproduction Technology ,1248,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACINTOSH-CORRY RM B201
MACINTOSH-CORRY RM B201","Burfoot,Annette Jane
Burfoot,Annette Jane",99
 SPAN 111 - Beginning Spanish I ,5121,"002-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINGSTON RM304
KINGSTON RM304","Kani,Consuelo
Kani,Consuelo",39
 SPAN 302 - Gramática avanzada y composición II ,4302,"001-SEM
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINGSTON RM308
KINGSTON RM308","Mennell,Jan D
Mennell,Jan D",17
 STAT 263 - Introduction to Statistics ,4429,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","CHERNOFF AUD
CHERNOFF AUD","Molson,Charles Arthur
Molson,Charles Arthur",240
 STAT 464 - Discrete Time Series Analysis ,5643,"001-LEC
Regular","Tu 2:30PM - 4:00PM
Th 10:00AM - 11:30AM","JEFFERY RM116
JEFFERY RM116","Thomson,David J
Thomson,David J",16
 STAT 864 - Discrete Time Series Analysis ,5666,"001-LEC
Regular","Tu 2:30PM - 4:00PM
Th 10:00AM - 11:30AM","JEFFERY RM116
JEFFERY RM116","Thomson,David J
Thomson,David J",16
 ANAT 101 - Introductory Human Anatomy ,1060,"002-LAB
Regular",Th 10:30AM - 12:30PM,MEDS RM302 - Anatomy,"Oko,Richard J",62
 ANAT 216 - Principles of Human Morphology II ,1046,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","DUNNING AUD
DUNNING AUD
DUNNING AUD","Elbatarny,Hisham,
Mackenzie,Leslie W,
Tayade,Chandrakant
Elbatarny,Hisham,
Mackenzie,Leslie W,
Tayade,Chandrakant
Elbatarny,Hisham,
Mackenzie,Leslie W,
Tayade,Chandrakant",170
 APSC 111 - Mechanics ,5399,"901-TUT
6 wk Win","We 10:30AM - 11:30AM
Th 10:30AM - 11:30AM","JEFFERY RM128
JEFFERY RM126","Narayanan,Sowmya K
Narayanan,Sowmya K",46
 APSC 112 - Electricity And Magnetism ,3838,"102-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","STIRLING AUD
STIRLING AUD
STIRLING AUD","Morelli,Jordan E
Morelli,Jordan E
Morelli,Jordan E",225
 APSC 112 - Electricity And Magnetism ,3974,"103-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","ELLIS RM324
ELLIS RM324
ELLIS RM324","Morin,Evelyn Louise
Morin,Evelyn Louise
Morin,Evelyn Louise",40
 APSC 174 - Introduction To Linear Algebra ,3766,"101-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","ELLIS AUD
ELLIS AUD
ELLIS AUD","Mansouri,Abdol-Reza
Mansouri,Abdol-Reza
Mansouri,Abdol-Reza",218
 APSC 174 - Introduction To Linear Algebra ,5410,"900-LEC
12 wk Win","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM
Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM126
JEFFERY RM126
JEFFERY RM126
JEFFERY RM126
JEFFERY RM126
JEFFERY RM126","Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey",59
 ARTC 822 - Conservation Of Paintings II ,6167,"001-LEC
Regular","Mo 10:30AM - 11:30AM
Th 10:30AM - 11:30AM","ONTARIO RM206
ONTARIO RM206","O'Malley,Michael
O'Malley,Michael",7
 ARTH 120B - Art in the West from Antiquity to Modernity ,1256,"007-TUT
Regular",Th 10:30AM - 11:30AM,MACINTOSH-CORRY RM D122,Staff,22
 BIOL 303 - Community and Ecosystem Ecology ,1316,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","STIRLING RM A
STIRLING RM A
STIRLING RM A","Grogan,Paul
Grogan,Paul
Grogan,Paul",67
 BIOL 439 - Natural Selection and Microevolution ,1773,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","BIOSCI RM1120
BIOSCI RM1120
BIOSCI RM1120","Boag,Peter T
Boag,Peter T
Boag,Peter T",27
 CHEE 323 - Industrial Catalysis ,2298,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","MILLER RM201
MILLER RM201
MILLER RM201","Hutchinson,Robin A
Hutchinson,Robin A
Hutchinson,Robin A",77
 CHEM 413 - Computational Chemistry ,2742,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM234
JEFFERY RM234
JEFFERY RM234","Cann,Natalie,
Mosey,Nicholas J
Cann,Natalie,
Mosey,Nicholas J
Cann,Natalie,
Mosey,Nicholas J",7
 CHEM 834 - Molec Orbitals & Structures ,5745,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM234
JEFFERY RM234
JEFFERY RM234","Cann,Natalie,
Mosey,Nicholas J
Cann,Natalie,
Mosey,Nicholas J
Cann,Natalie,
Mosey,Nicholas J",7
 CISC 260 - Programming Paradigms ,3492,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","WALTER LIGHT RM205
WALTER LIGHT RM205
WALTER LIGHT RM205","Lamb,Margaret
Lamb,Margaret
Lamb,Margaret",124
 CISC 260 - Programming Paradigms ,6233,"002-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","STIRLING RM B
STIRLING RM B
CHERNOFF RM117","Dingel,Juergen U
Dingel,Juergen U
Dingel,Juergen U",100
 CLST 129B - Introduction to Archaeology ,1788,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","KINES & HLTH RM100
KINES & HLTH RM100
KINES & HLTH RM100","Reeves,M. Barbara
Reeves,M. Barbara
Reeves,M. Barbara",107
" DEVS 100B - Canada and the ""Third World"" ",1885,"008-TUT
Regular",Th 10:30AM - 11:30AM,ELLIS RM319,Staff,23
 ECON 110B - Principles of Economics ,1945,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","BIOSCI AUD
BIOSCI AUD
BIOSCI AUD","Cromb,Ian James
Cromb,Ian James
Cromb,Ian James",262
 ELEC 324 - Discrete-Time Signals and Systems ,3563,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","BIOSCI RM1103
BIOSCI RM1103
BIOSCI RM1103","Blostein,Steven D
Blostein,Steven D
Blostein,Steven D",68
 ELEC 374 - Digital Systems Engineering ,6048,"004-LEC
Regular","Mo 1:30PM - 2:30PM
We 12:30PM - 1:30PM
Th 10:30AM - 11:30AM","JEFFERY RM225
JEFFERY RM225
JEFFERY RM225","Faraji,Iman
Faraji,Iman
Faraji,Iman",50
 ENCH 413 - Computational Chemistry ,2752,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM234
JEFFERY RM234
JEFFERY RM234","Cann,Natalie,
Mosey,Nicholas J
Cann,Natalie,
Mosey,Nicholas J
Cann,Natalie,
Mosey,Nicholas J",7
 ENPH 211 - Applied Physics ,4711,"002-TUT
Regular",Th 10:30AM - 11:30AM,STIRLING RM C,"Di Stefano,Philippe",67
 GEOE 362 - Resource Engineering ,5049,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","MILLER RM105
MILLER RM105
MILLER RM105","Olivo,Gema Ribeiro
Olivo,Gema Ribeiro
Olivo,Gema Ribeiro",48
 GEOL 342 - Special Topics in Geology ,4089,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","MILLER RM210
MILLER RM210
MILLER RM210","Dececchi,Thomas
Dececchi,Thomas
Dececchi,Thomas",15
 GEOL 362 - Petrology Applied to Ore Deposit ,5066,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","MILLER RM105
MILLER RM105
MILLER RM105","Olivo,Gema Ribeiro
Olivo,Gema Ribeiro
Olivo,Gema Ribeiro",48
 GPHY 102 - Earth System Science ,2881,"004-TUT
Regular",Th 10:30AM - 11:30AM,MACINTOSH-CORRY RM E104,"Danby,Ryan,
Lamoureux,Scott",30
 MATH 121B - Differential and Integral Calculus ,4382,"020-LDI
Regular",Th 10:30AM - 11:30AM,DUNCAN MCARTHUR RM B101,"Ableson,Alan",246
 MATH 124 - Differential and Integral Calculus II ,4388,"020-LDI
Regular",Th 10:30AM - 11:30AM,DUNCAN MCARTHUR RM B101,"Ableson,Alan",246
 MATH 228 - Complex Analysis ,4352,"002-TUT
Regular",Th 10:30AM - 11:30AM,JEFFERY RM127,Staff,99
 MATH 281 - Introduction to Real Analysis ,4365,"003-TUT
Regular",Th 10:30AM - 11:30AM,JEFFERY RM101,"Lewis,Andrew D",64
 MATH 328 - Real Analysis ,4342,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM115
JEFFERY RM115
JEFFERY RM115","Bogoyavlenskij,Oleg I
Bogoyavlenskij,Oleg I
Bogoyavlenskij,Oleg I",14
 MATH 387 - Elementary Geometry - an Advanced Perspective ,5136,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM110
JEFFERY RM110
JEFFERY RM110","Dimitrov,Ivan K
Dimitrov,Ivan K
Dimitrov,Ivan K",18
 MECH 371 - Fracture Mech & Dislocation ,4458,"001-LEC
Regular","Mo 9:30AM - 10:30AM
Th 10:30AM - 11:30AM
We 8:30AM - 9:30AM","ELLIS RM327
ELLIS RM327
DUNNING RM12","Krstic,Vladimir
Krstic,Vladimir
Krstic,Vladimir",74
 MECH 456 - Introduction To Robotics ,5678,"001-LEC
Regular","Mo 12:30PM - 1:30PM
We 12:30PM - 1:30PM
Th 10:30AM - 11:30AM","MCLAUGHLIN RM315
MCLAUGHLIN RM315
MCLAUGHLIN RM315","Notash,Leila
Notash,Leila
Notash,Leila",37
 MECH 470 - Deformation Processing ,4508,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","NICOL RM321
NICOL RM321
NICOL RM321","Pilkey,Keith
Pilkey,Keith
Pilkey,Keith",14
 MICR 320 - Microbial Pathogenesis ,1087,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","MCLAUGHLIN RM306
MCLAUGHLIN RM306
MCLAUGHLIN RM306","Martin,Nancy L,
Raptis,Leda Helen
Martin,Nancy L,
Raptis,Leda Helen
Martin,Nancy L,
Raptis,Leda Helen",50
 MINE 324 - Hydraulics/Mining Applications ,5242,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","GOODWIN RM254
GOODWIN RM254
GOODWIN RM254","De Souza,Euler Magno
De Souza,Euler Magno
De Souza,Euler Magno",29
 MTHE 228 - Complex Analysis ,4415,"002-TUT
Regular",Th 10:30AM - 11:30AM,JEFFERY RM127,Staff,99
 MTHE 281 - Introduction To Real Analysis ,4416,"003-TUT
Regular",Th 10:30AM - 11:30AM,JEFFERY RM101,"Lewis,Andrew D",64
 MTHE 393 - Engineering Design and Practice for Mathematics and Engineering ,4418,"002-TUT
Regular","Th 10:30AM - 11:30AM
Th 10:30AM - 11:30AM","JEFFERY RM155
JEFFERY RM157","Staff
Staff",59
 MUSC 227B - Ear Training and Sight Singing II ,4534,"002-LAB
Regular","Mo 9:30AM - 10:30AM
Th 10:30AM - 11:30AM","HARRISON-LECAINE RM124
HARRISON-LECAINE RM124","Tormann,Cynthia
Tormann,Cynthia",27
 POLS 110B - Introduction to Politics and Government ,4737,"007-TUT
Regular",Th 10:30AM - 11:30AM,BIOSCI RM2109,Staff,23
 POLS 110B - Introduction to Politics and Government ,4739,"009-TUT
Regular",Th 10:30AM - 11:30AM,MACINTOSH-CORRY RM D326,Staff,22
