class,number,section,time,room,prof,enrollment
 MUSC 166B - Jazz Ensemble ,4522,"001-LAB
Regular","Mo 5:30PM - 7:00PM
We 5:30PM - 7:00PM","IBCPA RM 105
IBCPA RM 105","Runions,Gregory
Runions,Gregory",11
 MUSC 266B - Jazz Ensemble ,4538,"001-LAB
Regular","Mo 5:30PM - 7:00PM
We 5:30PM - 7:00PM","IBCPA RM 105
IBCPA RM 105","Runions,Gregory
Runions,Gregory",11
 MUSC 366B - Jazz Ensemble ,4550,"001-LAB
Regular","Mo 5:30PM - 7:00PM
We 5:30PM - 7:00PM","IBCPA RM 105
IBCPA RM 105","Runions,Gregory
Runions,Gregory",11
 MUSC 466B - Jazz Ensemble ,4564,"001-LAB
Regular","Mo 5:30PM - 7:00PM
We 5:30PM - 7:00PM","IBCPA RM 105
IBCPA RM 105","Runions,Gregory
Runions,Gregory",11
 PHYS 239 - Electromagnetism ,4661,"001-LEC
Regular","Th 9:30AM - 10:30AM
We 5:30PM - 6:30PM
Th 2:30PM - 3:30PM","STIRLING RM C
STIRLING RM C
STIRLING RM B","Duncan,Martin James
Duncan,Martin James
Duncan,Martin James",165
 PSYC 203 - Research Methods in Psychology ,3362,"006-LAB
Regular",We 5:30PM - 7:00PM,HUMPHREY RM219,Staff,25
" LAW 253 - The Value of Human Life in Jewish Law: Moral, Religious and Legal Aspects ",6260,"001-SEM
Law",MoWe 6:00PM - 9:00PM,MACDONALD RM100,"Wozner,Shai",18
 LAW 360 - Trial Advocacy ,1577,"001-SEM
Law",We 6:00PM - 9:00PM,MACDONALD RM400,"Shelley,Carolyn,
Swindley,Michael",17
 NURS 850B - Pathphysiol For Nurse Pract ,5714,"001-LEC
Regular",We 6:00PM - 9:00PM,TBA,"Wilson,Rosemary A",18
 NURS 853B - Roles & Responsibilities ,5715,"001-LEC
Regular",We 6:00PM - 9:00PM,TBA,"Wilson,Rosemary A",11
 SURP 807 - Special Topic ,6029,"001-LEC
Regular",We 6:00PM - 9:00PM,TBA,"Cumming,Susan",30
 APSC 100B - Engineering Practice ,3919,"801-STD
Regular",We 6:30PM - 9:30PM,DUPUIS RM217,Staff,0
 APSC 103 - First Year Engineering Design Project ,4043,"801-STD
Regular",We 6:30PM - 9:30PM,DUPUIS RM217,Staff,0
 APSC 202 - Engineering Design and Practice II: Client-Based Design ,4034,"800-LEC
Regular","MoWe 6:30PM - 7:30PM
MoWe 6:30PM - 7:30PM","BEAMISH-MUNRO RM313A
BEAMISH-MUNRO RM313B","Elliott,Chelsea
Elliott,Chelsea",47
 BIOL 202 - Diversity of Life II ,1389,"014-LAB
Regular",We 6:30PM - 9:30PM,BIOSCI RM2311,Staff,20
 BIOL 202 - Diversity of Life II ,1390,"015-LAB
Regular",We 6:30PM - 9:30PM,BIOSCI RM2312,Staff,20
 BIOL 206 - Evolutionary Genetics ,1331,"012-LAB
Regular",We 6:30PM - 9:30PM,BIOSCI RM3326,Staff,20
 BIOL 206 - Evolutionary Genetics ,1332,"013-LAB
Regular",We 6:30PM - 9:30PM,BIOSCI RM3319,Staff,20
 CHIN 100B - Introductory Mandarin Chinese I ,4231,"003-TUT
Regular",We 6:30PM - 7:30PM,TBA,"Bai,Xuelin",13
 CISC 458 - Programming Language Processors (S) ,3509,"001-LEC
Regular",We 6:30PM - 9:30PM,WALTER LIGHT RM210,"Cordy,James R",57
 CISC 858 - Programming Lang Processors (S) ,4254,"001-LEC
Regular",We 6:30PM - 9:30PM,WALTER LIGHT RM210,"Cordy,James R",57
 CMPE 458 - Programming Language Processor ,3537,"001-LEC
Regular",We 6:30PM - 9:30PM,WALTER LIGHT RM210,"Cordy,James R",57
 COMM 112 - Intro To Management Accounting ,3611,"006-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM153,"Hou,Yu",82
 COMM 212 - Management Accounting ,3741,"002-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM151,"Wang,Jing",54
 COMM 231 - Fundamentals of Marketing ,3643,"001-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM118,"Chipperton,Paul",66
 COMM 311 - Fin Acctng Pract Prin & Concep ,3680,"001-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM102,"Mitchell,Cara",50
 COMM 376 - Doing Business In Asia-Pac Rim ,3710,"001-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM304,"Bu,Nailin",52
 COMM 612 - Management Accounting ,3747,"002-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM151,"Wang,Jing",54
 COMM 631 - Fundamentals of Marketing ,3726,"001-LEC
Regular",We 6:30PM - 9:30PM,GOODES RM118,"Chipperton,Paul",66
 DEVS 492 - Topics in Development Studies I ,1922,"004-SEM
Regular","We 6:30PM - 9:30PM
We 6:30PM - 9:30PM","MACINTOSH-CORRY RM A416
ELLIS RM319","Jefremovas,Villia
Jefremovas,Villia",5
 DEVS 868 - Rural Development ,1929,"001-SEM
Regular","We 6:30PM - 9:30PM
We 6:30PM - 9:30PM","MACINTOSH-CORRY RM A416
ELLIS RM319","Jefremovas,Villia
Jefremovas,Villia",5
 ELEC 390 - Elec & Computer Eng. Design ,4979,"003-LAB
Regular","We 6:30PM - 9:30PM
We 6:30PM - 9:30PM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM214","Fang,Peng
Fang,Peng",54
 ELEC 443 - Control Systems I ,4984,"003-LAB
Regular",We 6:30PM - 9:30PM,BEAMISH-MUNRO RM326,Staff,24
 FILM 340 - Advertising and Consumer Culture ,2157,"001-LEC
Regular",We 6:30PM - 9:30PM,CHERNOFF RM117,"Matrix,Sidneyeve",123
 GEOL 342 - Special Topics in Geology ,4090,"002-LAB
Regular","We 6:30PM - 9:30PM
Mo 6:30PM - 9:30PM","MILLER RM407
MILLER RM409","Dececchi,Thomas
Dececchi,Thomas",15
 MECH 228 - Kinematics And Dynamics ,4503,"003-TUT
Regular",We 6:30PM - 7:30PM,ELLIS RM321,"Rainbow,Michael J.",104
 MECH 333 - Gender Eng & Technology ,4481,"001-LEC
Regular",We 6:30PM - 9:30PM,MCLAUGHLIN RM302,"Dumas,Genevieve A",25
 MINE 326 - Operations Research ,5248,"002-LAB
Regular",We 6:30PM - 9:30PM,BEAMISH-MUNRO RM213,"Katsabanis,Panagiotis D",34
 MUSC 255B - Electroacoustic Music Composition ,4584,"001-LAB
Regular",We 6:30PM - 9:30PM,HARRISON-LECAINE RM120,"Rogalsky,Matt",26
 POLS 332 - Post-Communist Politics ,5187,"001-LEC
Regular",We 6:30PM - 9:30PM,MCLAUGHLIN RM306,"Roseberry,Philippe",52
 POLS 367 - American Foreign Policy ,5192,"001-LEC
Regular",MoWe 6:30PM - 8:00PM,CHERNOFF RM211,"Sokolsky,Joel Jeffrey",53
 POLS 891 - Topics In Political Studies ,5777,"001-SEM
Regular",We 6:30PM - 9:30PM,MACINTOSH-CORRY RM B313,"Smith,Timothy B",8
 PROF 210B - Self as Learner ,2566,"102-LEC
Education","We 6:30PM - 8:30PM
We 6:30PM - 8:30PM","DUNCAN MCARTHUR RM A241
DUNCAN MCARTHUR RM A242","Roblin,Nancy E
Roblin,Nancy E",79
 RELS 161B - Contemporary Problems in Religion and Culture ,1008,"001-LEC
Regular",We 6:30PM - 8:30PM,KINES & HLTH RM100,"Cuthbertson,Ian Alexander",155
 BIOL 331 - Analytical Genomics ,1324,"001-LEC
Regular","We 7:00PM - 9:00PM
Th 7:30PM - 8:30PM","STIRLING RM B
STIRLING RM A","Young,Paul G
Young,Paul G",61
" HQRS 844 - Law, Risk and Healthcare ",6293,"001-SEM
Regular",We 7:00PM - 9:00PM,TBA,"Robertson,Gerald Brannan",31
 PSYC 203 - Research Methods in Psychology ,3359,"003-LAB
Regular",We 7:00PM - 8:30PM,HUMPHREY RM219,Staff,21
 APSC 202 - Engineering Design and Practice II: Client-Based Design ,4035,"801-STD
Regular","MoWe 7:30PM - 9:30PM
MoWe 7:30PM - 9:30PM","BEAMISH-MUNRO RM313B
BEAMISH-MUNRO RM313A","Elliott,Chelsea
Elliott,Chelsea",47
 APSC 381 - Advanced Design and Skills for Innovation ,3780,"800-LEC
Regular",We 7:30PM - 10:30PM,ELLIS RM321,"Lewis,Trevor,
Strong,David S",86
 RELS 161B - Contemporary Problems in Religion and Culture ,1009,"002-TUT
Regular","We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM","BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109","Staff
Staff
Staff
Staff
Staff
Staff
Staff",26
 RELS 161B - Contemporary Problems in Religion and Culture ,1010,"003-TUT
Regular","We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM","BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111","Staff
Staff
Staff
Staff
Staff
Staff
Staff",24
 RELS 161B - Contemporary Problems in Religion and Culture ,1011,"004-TUT
Regular","We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM","WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212","Staff
Staff
Staff
Staff
Staff
Staff
Staff",28
 RELS 161B - Contemporary Problems in Religion and Culture ,1012,"005-TUT
Regular","We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM","BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109","Staff
Staff
Staff
Staff
Staff
Staff",25
 RELS 161B - Contemporary Problems in Religion and Culture ,1027,"006-TUT
Regular","We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM","BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111
BIOSCI RM2111","Staff
Staff
Staff
Staff
Staff
Staff",27
 RELS 161B - Contemporary Problems in Religion and Culture ,1028,"007-TUT
Regular","We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM
We 8:30PM - 9:30PM","WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212
WALTER LIGHT RM212","Staff
Staff
Staff
Staff
Staff
Staff",25
